timestamp,src,dest,speed_src,speed_dest,posx_src,posy_src,posz_src,posx_dest,posy_dest,posz_dest,traffic_type,packet_size,interval,serving_gnb,distance,sinr_dl,sinr_ulmac_thr_dl,mac_thr_ul,mac_delay_dl,mac_delay_ul,blerDlSignal,blerUlSignal,packetLossDlSignal,packetLossUlSignal,
0.22,gnb,ue[6],0,60,1000,950,30,26.2741,496.07,2.52318,DL,1000,0.02,1,1074.69,10.8561,3.63485,0,0,0,0,0,0,0,0
0.22,gnb,ue[7],0,60,1000,950,30,265.628,534.444,46.1853,DL,1000,0.02,1,843.949,16.2004,17.1106,29913.5,0,0.004,0,0,0,0,0
0.22,gnb,ue[8],0,60,1000,950,30,727.182,456.051,47.4872,DL,1000,0.02,1,564.554,14.2153,10.9702,21361.4,0,0.004,0,0,0,0,0
0.22,gnb,ue[9],0,60,1000,950,30,911.762,558.828,3.52198,DL,1000,0.02,1,401.874,16.147,31.7791,29093.5,0,0.004,0,0,0,0,0
0.22,gnb,ue[10],0,60,1000,950,30,190.58,474.935,33.8514,DL,1000,0.02,1,938.543,11.7657,5.22691,0,0,0,0,0,0,0,0
0.22,gnb,ue[11],0,60,1000,950,30,573.101,466.629,85.2736,DL,1000,0.02,1,647.26,14.9307,6.0421,28578,0,0.01,0,0,0,0,0
0.22,gnb,ue[12],0,60,1000,950,30,361.098,490.728,26.7989,DL,1000,0.02,1,786.852,14.411,13.6298,7915.84,0,0.004,0,0,0,0,0
0.22,gnb,ue[13],0,60,1000,950,30,63.9654,499.954,82.1303,DL,1000,0.02,1,1039.91,13.9624,11.039,6650.94,0,0.004,0,0,0,0,0
0.22,gnb,ue[14],0,60,1000,950,30,373.077,479.066,57.155,DL,1000,0.02,1,784.569,15.6619,5.04585,28182.6,0,0.004,0,0,0,0,0
0.22,gnb,ue[15],0,60,1000,950,30,975.376,498.542,0.159457,DL,1000,0.02,1,453.112,14.1573,15.7908,16621,0,0.01,0,0,0,0,0
0.22,gnb,ue[16],0,60,1000,950,30,132.387,494.081,77.9111,DL,1000,0.02,1,981.28,13.3934,4.54174,0,0,0,0,0,0,0,0
0.22,gnb,ue[17],0,60,1000,950,30,793.856,524.625,76.9247,DL,1000,0.02,1,475.017,15.1644,14.9896,25816.5,0,0.004,0,0,0,0,0
0.22,gnb,ue[18],0,60,1000,950,30,549.967,461.89,97.8857,DL,1000,0.02,1,667.375,16.2087,8.73244,26341.3,0,0.004,0,0,0,0,0
0.22,gnb,ue[19],0,60,1000,950,30,383.501,497.47,60.1944,DL,1000,0.02,1,765.354,15.8867,6.725,30058,0,0.004,0,0,0,0,0
0.24,gnb,ue[0],0,60,1000,950,30,466.471,554.106,52.3156,DL,1000,0.02,1,664.743,13.1442,9.31293,0,0,0,0,0,0,0,0
0.24,gnb,ue[1],0,60,1000,950,30,263.957,547.794,60.5043,DL,1000,0.02,1,839.321,13.0758,5.56013,0,0,0,0,0,0,0,0
